route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1700037606GL023,2026-08-142026-10-11001901,0019012026-08-14,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001901,0019012026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001901,0019012026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-032026-11-03001901,0019012026-11-03,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-142026-10-11001902,0019022026-08-14,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001902,0019022026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001902,0019022026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-032026-11-03001902,0019022026-11-03,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-142026-10-10001903,0019032026-08-14,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001903,0019032026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001903,0019032026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-012026-11-01001903,0019032026-11-01,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-142026-10-10001904,0019042026-08-14,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001904,0019042026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001904,0019042026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-012026-11-01001904,0019042026-11-01,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-142026-08-16001921,0019212026-08-14,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-172026-10-14001921,0019212026-08-17,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-11-03001921,0019212026-10-15,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-142026-08-16001922,0019222026-08-14,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-172026-10-14001922,0019222026-08-17,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-11-03001922,0019222026-10-15,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-142026-10-10001941,0019412026-08-14,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-122026-10-14001941,0019412026-10-12,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001941,0019412026-10-15,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-022026-11-03001941,0019412026-11-02,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-142026-10-10001942,0019422026-08-14,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-122026-10-14001942,0019422026-10-12,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001942,0019422026-10-15,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-022026-11-03001942,0019422026-11-02,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2026-08-142026-09-05002761,0027612026-08-14,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2026-08-142026-09-05002762,0027622026-08-14,,00276,,,,1                                                                                                                                                                                                                                                                                       
5631217000GL026,2026-08-142026-09-05002791,0027912026-08-14,,00279,,,,1                                                                                                                                                                                                                                                                                       
5030017000GL026,2026-08-142026-09-05002792,0027922026-08-14,,00279,,,,1                                                                                                                                                                                                                                                                                       
1120013200GL026,2026-08-142026-11-03002801,0028012026-08-14,,00280,,,,2                                                                                                                                                                                                                                                                                       
1151111208GL026,2026-08-142026-09-25002811,0028112026-08-14,,00281,,,,2                                                                                                                                                                                                                                                                                       
1151111208GL026,2026-09-262026-09-30002811,0028112026-09-26,,00281,,,,2                                                                                                                                                                                                                                                                                       
1151111208GL026,2026-10-012026-11-03002811,0028112026-10-01,,00281,,,,2                                                                                                                                                                                                                                                                                       
1120811511GL026,2026-08-142026-09-25002821,0028212026-08-14,,00282,,,,2                                                                                                                                                                                                                                                                                       
1120811511GL026,2026-09-262026-09-30002821,0028212026-09-26,,00282,,,,2                                                                                                                                                                                                                                                                                       
1120811511GL026,2026-10-012026-11-03002821,0028212026-10-01,,00282,,,,2                                                                                                                                                                                                                                                                                       
1320011200GL026,2026-08-142026-11-03002831,0028312026-08-14,,00283,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-08-16002911,0029112026-08-14,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-172026-10-11002911,0029112026-08-17,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-132026-10-14002911,0029112026-10-13,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-11-01002911,0029112026-10-15,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-032026-11-03002911,0029112026-11-03,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-08-16002912,0029122026-08-14,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-172026-10-11002912,0029122026-08-17,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-132026-10-14002912,0029122026-10-13,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-11-01002912,0029122026-10-15,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-032026-11-03002912,0029122026-11-03,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-10-11002931,0029312026-08-14,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-132026-10-14002931,0029312026-10-13,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-11-01002931,0029312026-10-15,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-032026-11-03002931,0029312026-11-03,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-10-11002932,0029322026-08-14,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-132026-10-14002932,0029322026-10-13,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-11-01002932,0029322026-10-15,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-032026-11-03002932,0029322026-11-03,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-10-10002951,0029512026-08-14,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-122026-10-14002951,0029512026-10-12,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-10-31002951,0029512026-10-15,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-022026-11-03002951,0029512026-11-02,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-10-10002952,0029522026-08-14,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-122026-10-14002952,0029522026-10-12,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-10-31002952,0029522026-10-15,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-022026-11-03002952,0029522026-11-02,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-10-10002971,0029712026-08-14,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-112026-10-11002971,0029712026-10-11,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-10-31002971,0029712026-10-15,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-012026-11-01002971,0029712026-11-01,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-10-10002972,0029722026-08-14,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-112026-10-11002972,0029722026-10-11,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-10-31002972,0029722026-10-15,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-012026-11-01002972,0029722026-11-01,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-10-11002991,0029912026-08-14,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-122026-10-12002991,0029912026-10-12,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-11-01002991,0029912026-10-15,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-022026-11-02002991,0029912026-11-02,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-08-142026-10-11002992,0029922026-08-14,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-122026-10-12002992,0029922026-10-12,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-10-152026-11-01002992,0029922026-10-15,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2026-11-022026-11-02002992,0029922026-11-02,,00299,,,,1                                                                                                                                                                                                                                                                                       
2230894346GL026,2026-08-132026-09-30004201,0042012026-08-13,,00420,,,,2                                                                                                                                                                                                                                                                                       
9434622308GL026,2026-08-132026-09-30004211,0042112026-08-13,,00421,,,,2                                                                                                                                                                                                                                                                                       
2230894346GL026,2026-08-132026-09-30004221,0042212026-08-13,,00422,,,,2                                                                                                                                                                                                                                                                                       
9434622308GL026,2026-08-132026-09-30004231,0042312026-08-13,,00423,,,,2                                                                                                                                                                                                                                                                                       
1320071801GL023,2026-08-142026-08-14004371,0043712026-08-14,,00437,,,,1                                                                                                                                                                                                                                                                                       
