fecha,tren,categoria,tipo_servicio,detalle,servicio_comercial,sentido,cod_origen,estacion_origen,cod_destino,estacion_destino,num_paradas,paradas
2026-04-23,00190,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,12,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Leganés > Torrijos > Talavera De La Reina > Oropesa De Toledo > Navalmoral De La Mata > Monfragüe-Plasencia > Cáceres > Mérida > Montijo > Badajoz
2026-04-23,00192,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,11,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Leganés > Torrijos > Talavera De La Reina > Oropesa De Toledo > Navalmoral De La Mata > Monfragüe-Plasencia > Cáceres > Mérida > Badajoz
2026-04-23,00194,LD,Larga Distancia,LD,ALVIA,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,37606,Badajoz,8,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Leganés > Talavera De La Reina > Navalmoral De La Mata > Plasencia > Cáceres > Badajoz
2026-04-23,00276,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,56312,Almeria,11,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Alcazar de San Juan > Vilches > Linares-Baeza > Jodar-Ubeda > Cabra del Santo Cristo Y Alicun > Moreda > Guadix > Huercal-Viator > Almeria
2026-04-23,00276,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),17000,Madrid-Chamartín-Clara Campoamor,50300,Linares-Baeza,5,Madrid-Chamartín-Clara Campoamor > Madrid - Atocha Cercanías > Alcazar de San Juan > Vilches > Linares-Baeza
2026-04-23,00279,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),56312,Almeria,17000,Madrid-Chamartín-Clara Campoamor,11,Almeria > Huercal-Viator > Guadix > Moreda > Cabra del Santo Cristo Y Alicun > Jodar-Ubeda > Linares-Baeza > Vilches > Alcazar de San Juan > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-04-23,00279,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),50300,Linares-Baeza,17000,Madrid-Chamartín-Clara Campoamor,5,Linares-Baeza > Vilches > Alcazar de San Juan > Madrid - Atocha Cercanías > Madrid-Chamartín-Clara Campoamor
2026-04-23,00280,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),11200,Miranda De Ebro,13200,Bilbao-Abando Indalecio Prieto,3,Miranda De Ebro > Llodio > Bilbao-Abando Indalecio Prieto
2026-04-23,00281,LD,Larga Distancia,LD,Intercity,Impar (↑ Norte/Origen),11511,San Sebastián/Donostia,11208,Vitoria/Gasteiz,4,San Sebastián/Donostia > Zumarraga > Altsasu/Alsasua-Estación > Vitoria/Gasteiz
2026-04-23,00282,LD,Larga Distancia,LD,Intercity,Par (↓ Sur/Destino),11208,Vitoria/Gasteiz,11511,San Sebastián/Donostia,4,Vitoria/Gasteiz > Altsasu/Alsasua-Estación > Zumarraga > San Sebastián/Donostia
