trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled                                                                                                                                                                                                                                         
0019022026-08-24,10:15:00,10:17:00,35200,05,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-08-24,10:46:00,10:47:00,35203,06,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-08-24,11:09:00,11:10:00,35206,07,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-08-24,11:39:00,11:40:00,30000,08,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-08-24,12:18:00,12:20:00,35400,09,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-08-24,12:55:00,13:00:00,37500,10,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-08-24,13:16:00,13:17:00,37603,11,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-08-24,13:38:00,13:38:00,37606,12,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-13,8:30:00,8:30:00,17000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-10-13,8:43:00,8:51:00,18000,02,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-10-13,9:07:00,9:08:00,35001,03,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-10-13,9:47:00,9:48:00,35105,04,,1,0,                                                                                                                                                                                                                                                                                                               
0019022026-10-13,10:15:00,10:17:00,35200,05,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-13,10:46:00,10:47:00,35203,06,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-13,11:09:00,11:10:00,35206,07,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-13,11:39:00,11:40:00,30000,08,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-13,12:18:00,12:20:00,35400,09,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-13,12:55:00,13:00:00,37500,10,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-13,13:16:00,13:17:00,37603,11,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-13,13:38:00,13:38:00,37606,12,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-15,8:30:00,8:30:00,17000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-10-15,8:43:00,8:51:00,18000,02,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-10-15,9:07:00,9:08:00,35001,03,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-10-15,9:47:00,9:48:00,35105,04,,1,0,                                                                                                                                                                                                                                                                                                               
0019022026-10-15,10:15:00,10:17:00,35200,05,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-15,10:46:00,10:47:00,35203,06,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-15,11:09:00,11:10:00,35206,07,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-15,11:39:00,11:40:00,30000,08,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-15,12:18:00,12:20:00,35400,09,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-15,12:55:00,13:00:00,37500,10,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-15,13:16:00,13:17:00,37603,11,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-10-15,13:38:00,13:38:00,37606,12,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-11-03,8:30:00,8:30:00,17000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-11-03,8:43:00,8:51:00,18000,02,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-11-03,9:07:00,9:08:00,35001,03,,0,1,                                                                                                                                                                                                                                                                                                               
0019022026-11-03,9:47:00,9:48:00,35105,04,,1,0,                                                                                                                                                                                                                                                                                                               
0019022026-11-03,10:15:00,10:17:00,35200,05,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-11-03,10:46:00,10:47:00,35203,06,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-11-03,11:09:00,11:10:00,35206,07,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-11-03,11:39:00,11:40:00,30000,08,,1,0,                                                                                                                                                                                                                                                                                                             
0019022026-11-03,12:18:00,12:20:00,35400,09,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-11-03,12:55:00,13:00:00,37500,10,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-11-03,13:16:00,13:17:00,37603,11,,0,0,                                                                                                                                                                                                                                                                                                             
0019022026-11-03,13:38:00,13:38:00,37606,12,,1,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,9:10:00,9:10:00,17000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-08-24,9:23:00,9:31:00,18000,02,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-08-24,9:47:00,9:48:00,35001,03,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-08-24,10:27:00,10:28:00,35105,04,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,10:56:00,10:58:00,35200,05,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,11:21:00,11:22:00,35203,06,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,11:42:00,11:43:00,35206,07,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,12:17:00,12:18:00,30000,08,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,12:56:00,12:58:00,35400,09,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,13:33:00,13:38:00,37500,10,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,13:55:00,13:56:00,37603,11,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-08-24,14:18:00,14:18:00,37606,12,,1,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,9:10:00,9:10:00,17000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-10-11,9:23:00,9:31:00,18000,02,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-10-11,9:47:00,9:48:00,35001,03,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-10-11,10:27:00,10:28:00,35105,04,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,10:56:00,10:58:00,35200,05,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,11:21:00,11:22:00,35203,06,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,11:42:00,11:43:00,35206,07,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,12:17:00,12:18:00,30000,08,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,12:56:00,12:58:00,35400,09,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,13:33:00,13:38:00,37500,10,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,13:55:00,13:56:00,37603,11,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-11,14:18:00,14:18:00,37606,12,,1,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-15,9:10:00,9:10:00,17000,01,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-10-15,9:23:00,9:31:00,18000,02,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-10-15,9:47:00,9:48:00,35001,03,,0,1,                                                                                                                                                                                                                                                                                                               
0019032026-10-15,10:27:00,10:30:00,35105,04,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-15,10:56:00,10:58:00,35200,05,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-15,11:21:00,11:22:00,35203,06,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-15,11:42:00,11:43:00,35206,07,,0,0,                                                                                                                                                                                                                                                                                                             
0019032026-10-15,12:17:00,12:18:00,30000,08,,0,0,                                                                                                                                                                                                                                                                                                             
