route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1700037606GL023,2026-06-172026-08-04001901,0019012026-06-17,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-11001901,0019012026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001901,0019012026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001901,0019012026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-032026-11-03001901,0019012026-11-03,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-172026-08-04001902,0019022026-06-17,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-11001902,0019022026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-132026-10-14001902,0019022026-10-13,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001902,0019022026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-032026-11-03001902,0019022026-11-03,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-172026-08-04001903,0019032026-06-17,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-10001903,0019032026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001903,0019032026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001903,0019032026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-012026-11-01001903,0019032026-11-01,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-172026-08-04001904,0019042026-06-17,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-08-052026-10-10001904,0019042026-08-05,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-112026-10-11001904,0019042026-10-11,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-10-152026-10-31001904,0019042026-10-15,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-11-012026-11-01001904,0019042026-11-01,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2026-06-172026-06-19001921,0019212026-06-17,,00192,,,,1                                                                                                                                                                                                                                                                                       
